title,text,date
Названо число туристов в Крыму,"Сейчас в Крыму находятся более 50 тысяч россиян, но туроператоры и органы власти пока ведут более точный подсчет, сообщает Ассоциация туроператоров России (АТОР). Об этом пишет ТАСС.«Более точные данные о количестве отдыхающих в отелях и санаториях Крыма, которые не могут выехать с полуострова из-за ЧП, будет опубликовано позже», — заявили в ассоциации.Более точные данные о числе отдыхающих, которые не могут выехать с полуострова из-за взрыва Крымского моста, будет опубликовано позже.Эти заявления звучат на фоне сообщений о взрыве на автодорожной части Крымского моста, произошедшем 8 октября. По предварительным данным, взорвался грузовой автомобиль. Подрыв привел к возгоранию семи топливных цистерн железнодорожного состава, два автомобильных пролета моста частично обрушены.",2022-10-08 00:00:00
Приграничный российский регион второй раз за день обстреляли со стороны Украины,"Село Тишанка Волоконовского района Белгородской области обстреляли со стороны Украины. Об этом сообщил губернатор приграничного российского региона Вячеслав Гладков в Telegram-канале.Это второй обстрел Белгородской области за сутки. Вооруженные силы Украины (ВСУ) 8 октября также нанесли удар по селу Бирюч в Валуйском районе. Пострадала 16-летняя девочка, ей оказывают помощь.«Осколками повреждены два легковых автомобиля работников зерновой компании. По предварительной информации, пострадавших нет», — написал Гладков.Он добавил, что на место происшествия выехал глава района Сергей Бикетов и сотрудники оперативных служб.В Белгородской области до 22 октября действует высокий уровень террористической опасности.  Из классификации Национального антитеррористического комитета следует, что он вводится при наличии информации о реальной возможности совершения теракта.",2022-10-08 00:00:00
Названо число собирающихся покинуть Крым туристов,"Около 4 тысяч туристов должны покинуть Крым в ближайшие 3-4 дня, еще столько же собираются отправиться туда. Число туристов назвал исполняющий обязанности президента Российского союза туриндустрии (РСТ) Илья Уманский в разговоре с ТАСС.Губернатор Севастополя Михаил Развожаев ранее заявил, что запаса бензина в регионе должно хватить на 40 суток. Кроме того, в Севастополе есть запасы подсолнечного масла на 46 дней и мясные консервы на 106 дней.Утром 8 октября на автодорожной части Крымского моста прогремел взрыв. По предварительным данным, взорвался грузовой автомобиль. Подрыв привел к возгоранию семи топливных цистерн железнодорожного состава, два автомобильных пролета моста частично обрушены.",2022-10-08 00:00:00
Росгвардия задержала помогавших ВСУ украинцев на Херсонщине и в Запорожье,"Росгвардия провела операцию в Херсонской и Запорожской областях, в ходе которой задержала четырех пособников Вооруженных сил Украины (ВСУ), передает ТАСС со ссылкой на пресс-службу ведомства. В ходе адресных мероприятий военнослужащие также обнаружили тайник с 450 минами.«Подразделениями специального назначения Росгвардии проведены адресные мероприятия в населенных пунктах Херсонской и Запорожской областей. По информации, поступившей от взаимодействующих органов, выявлены четыре человека, подозреваемых в пособничестве ВСУ», — сообщили в ведомстве.Кроме того, Росгвардия обнаружила тайник с 450 минами, огнестрельное оружие и средства связи, при помощи которых, вероятно, передавались данные о перемещении российских войск.Утром в субботу, 8 октября, стало известно, что на Крымском мосту произошел мощный взрыв. В результате взрыва повреждены два автомобильных пролета моста в направлении Крыма, на железнодорожных путях загорелись семь топливных цистерн железнодорожного состава.",2022-10-08 00:00:00
МИД Китая прокомментировал предложение Маска по Тайваню,"Официальный представитель МИД КНР Мао Нин заявила, что тайваньский вопрос является внутренним делом страны, подчеркнув, что Пекин намерен обеспечить мирное воссоединение с островом. Так она прокомментировала предложение по урегулированию ситуации американского миллиардера Илона Маска, пишет РИА Новости.По словам Нин, позиция Китая в решении тайванского вопроса является последовательной и ясной. «Мы будем придерживаться основного курса на мирное воссоединение страны, принципа ""одна страна — две системы», — сообщила дипломат.Представитель дипведомства подчеркнула, что Китай будет решительно пресекать попытки сепаратистов добиться независимости Тайваня, решительно противодействовать вмешательству внешних сил и защищать государственный суверенитет и территориальную целостность.Ранее Маск предложил сделать Тайвань специальным административным районом Китая по примеру Гонконга. По его мнению, конфликт из-за острова неизбежен, но очень дорого обойдется миру. Бизнесмен оценил ущерб мировой экономики от возможного тайваньского конфликта в 30 процентов ВВП.",2022-10-08 00:00:00
Хуснуллин приедет на место ЧП на Крымском мосту,"Вице-премьер России Марат Хуснуллин, возглавивший правкомиссию по ликвидации последствий ЧП на Крымском мосту, выехал на место происшествия. Об этом он сообщил в своем Telegram-канале.«В ближайшие часы вылетаю в Крым. Лично осмотрю повреждения моста», — написал вице-премьер.Он пообещал принять решения, которые помогут восстановить работу моста в ближайшее время.ЧП на Крымском мосту произошло рано утром в субботу, 8 октября. Национальный антитеррористический комитет (НАК) назвал случившееся подрывом, подчеркнув, что на мосту взорвался грузовой автомобиль. В результате частично обрушились два автомобильных пролета моста, а также загорелись семь топливных цистерн железнодорожного состава.",2022-10-08 00:00:00
Налажен сухопутный коридор из Крыма в регионы России через новые территории,"Налажен сухопутный коридор из Крыма в регионы России через новые территории. Такое заявление сделал на фоне перекрытия Крымского моста советник главы Крыма по информационной политике Олег Крючков, его слова приводит РИА Новости.Он также отметил, что Крым обеспечен запасом продовольствия и энергоносителей. Помимо этого, сейчас заполнены стратегические нефтехранилища. «Налажен сухопутный коридор через новые регионы», — добавил советник главы Крыма. Уточняется, что этот коридор пролегает через территории Херсонской, Запорожской областей, а также ДНР.Национальный антитеррористический комитет (НАК) сообщил, что в субботу, 8 октября, во время движения по Крымскому мосту произошел подрыв автомобиля. После этого стало известно о возгорании топливной цистерны в хвосте поезда, шедшего по Крымскому мосту. Локомотив с частью вагонов выведен на станцию Керчь.По данным властей, арки не повреждены, пострадали только полотна на автомобильной и железнодорожной частях моста. При этом движение по Крымскому мосту сейчас перекрыто, готовится к запуску паромная переправа через Керченский пролив. Уже идет подготовка к восстановительным работам. Помимо этого, власти Крыма призвали россиян пользоваться только официальной информацией во избежание распространения «вражеских фейков и вбросов».",2022-10-08 00:00:00
Шлеменко высказался о победе Исмаилова над Иличем,"Российский боец смешанного стиля (ММА) Александр Шлеменко высказался о победе соотечественника Магомеда Исмаилова над сербом Александром Иличем. Его слова приводит «Чемпионат.com».«У меня сложилось такое впечатление, что Илич работал просто на то, чтобы не упасть. Он все же занимался тайским боксом, он привык работать ногами, а не руками», — заявил Шлеменко. Боец отметил, что антропометрия, скорость и техника Исмаилова делают его очень опасным соперником.Встреча Исмаилова и Илича прошла по правилам бокса в рамках турнира PRAVDA в ночь на 8 октября. Бой продлился шесть раундов и завершился победой россиянина единогласным решением судей. Для 33-летнего Илича это был дебютный боксерский поединок. 36-летний Исмаилов уже однажды проводил бой по правилам бокса.26 августа Шлеменко уступил Иличу на турнире RCC. Схватка продлилась 21 секунду. Сербу удалось отправить оппонента в нокдаун ударом колена, а затем добить его, вынудив рефери остановить бой.",2022-10-08 00:00:00
В МИД заявили о террористах в Киеве из-за реакции на взрыв Крымского моста,"Официальный представитель МИД России Мария Захарова заявила, что у власти на Украине находятся люди с террористической сущностью. Так она оценила реакцию Киева на взрыв Крымского моста, цитата опубликована в ее Telegram.«Реакция киевского режима на разрушение гражданской инфраструктуры свидетельствует о его террористической сущности», — написала дипломат.Мощный взрыв на Крымском мосту прогремел утром 8 октября. Советник главы офиса президента Украины Михаил Подоляк прокомментировал пожар на Крымском мосту следующими словами: «Крым, мост, начало. Все незаконное должно быть разрушено, все украденное должно быть возвращено Украине, все оккупированное Россией должно быть уничтожено».Член Госдумы от «Единой России» Олег Морозов заявил, что взрывы стали не просто вызовом, а объявлением войны без правил.",2022-10-08 00:00:00
В Крыму опровергли информацию об ограничении продажи товаров,"Советник главы Крыма Олег Крючков заявил, что информация об ограничении продажи товаров в Крыму не соответствует действительности. Комментарий с опровержением он опубликовал в Telegram.«Информация об ограничении продажи товаров в Крыму не соответствует действительности. В ближайшее время будут дополнительные разъяснения», — написал он.По словам Крючкова, Крым обеспечен стратегическим запасом топлива на несколько месяцев. «Крым обеспечен запасом продовольствия и нефтепродуктов. Заполнены стратегические нефтехранилища», — отметил чиновник. Он также указал на то, что повреждена только одна нитка автомобильной части Крымского моста, налажен сухопутный коридор через новые регионы. В заключение советник главы Крыма призвал доверять только официальной информации.Ранее в Минэнерго России сообщили, что запасов автомобильного топлива в Крыму хватит минимум на 15 дней. В ведомстве добавили, что уже ведется работа по обеспечению продолжения подвоза бензина и дизельного топлива на полуостров.",2022-10-08 00:00:00
Губернатор сообщил о штатной работе АЗС со стороны Тамани вблизи Крымского моста,"Все автозаправочные станции (АЗС) вблизи Крымского моста со стороны Тамани работают в штатном режиме, заявил губернатор Краснодарского края Вениамин Кондратьев в Telegram.Кондратьев заверил, что коллапса удалось избежать. «Для водителей организовали стоянки в районе поселка Ильич и на развилке ""Тамань — Волна"", работает полевая кухня», — написал он.Губернатор добавил, что при необходимости Краснодарский край готов оперативно открыть еще семь подобных пунктов. Кроме того, власти региона могут задействовать паромную переправу со стороны региона.Утром 8 октября на Крымском мосту загорелась топливная цистерна в хвосте грузового поезда. Позднее появилась информация, что на мосту произошел подрыв грузового автомобиля. Происшествие стало причиной частичного обрушения двух автомобильных пролетов моста и возгорания семи топливных цистерн железнодорожного состава. В результате ЧП никто не пострадал.В настоящее время подготовка к восстановительным работам уже началась. Минтрансом России запущены новые логистические маршруты, также заработала Керченская паромная переправа.",2022-10-08 00:00:00
В Севастополе оценили запасы бензина после ЧП на Крымском мосту,"В Севастополе запасов бензина хватит на 40 суток. Об этом, комментируя последствия ЧП на Крымском мосту, заявил губернатор Михаил Развожаев в Telegram-канале.«Поступают сигналы, что люди на заправках пытаются покупать бензин под запас канистрами. Чтобы не провоцировать искусственный ажиотаж: бензин в канистры отпускаться не будет», — написал губернатор Севастополя.По его словам, сахара в регионе хватит на 23 дня, муки — на 27 дней, макарон — на 29 дней. Также в Севастополе имеются запасы подсолнечного масла на 46 дней и мясные консервы на 106 дней.Развожаев сообщил, что во избежание ажиотажа в Севастополе вводится ограничение на отпуск бакалеи — в одни руки жителю выдадут до трех килограммов продовольствия или до трех пачек продуктов.Глава города федерального значения подчеркнул, что территория не отрезана от материка — имеются сухопутные коридоры через новые территории, также в районе Крымского моста работает переправа.ЧП на Крымском мосту произошло рано утром в субботу, 8 октября. Национальный антитеррористический комитет (НАК) назвал случившееся подрывом, подчеркнув, что на мосту взорвался грузовой автомобиль. В результате частично обрушились два автомобильных пролета моста, а также загорелись семь топливных цистерн железнодорожного состава.",2022-10-08 00:00:00
Мишустин создал комиссию по расследованию ЧП на Крымском мосту,"Глава российского правительства Михаил Мишустин создал правительственную комиссию по расследованию взрыва на Крымском мосту, его возглавит вице-премьер Марат Хуснуллин. Об этом говорится в Telegram-канале правительства.«На место ЧП выехали министр транспорта Виталий Савельев и глава МЧС Александр Куренков», — подчеркивают в правительстве.Отмечается, что в состав комиссии также вошли представители Минтранса, МЧС, Минстроя, Росморречфлота, Росавтодора, Росжилдора, Росгвардии, МВД и ФСБ. В него также включили главу Краснодарского края и Республики Крым.Комиссию создали по поручению президента России Владимира Путина.О том, что на Крымском мосту произошел взрыв, стало известно 8 октября. Предположительно, неизвестные подорвали грузовой автомобиль, начиненный взрывчаткой. Два автомобильных пролета моста в направлении Крыма повредили, на железнодорожных путях загорелись семь топливных цистерн железнодорожного состава.",2022-10-08 00:00:00
Один человек пострадал из-за удара ВСУ по российскому селу,"Вооруженные силы Украины (ВСУ) нанесли удар по российскому селу Бирюч в Валуйском районе Белгородской области. Об этом сообщил глава региона Вячеслав Гладков в Telegram.По словам губернатора, предварительно, в результате обстрела была ранена 16-летняя девочка-подросток. Для помощи пострадавшей на место выехала бригада медиков.Данные о разрушениях после атаки Украины на данный момент уточняются. Гладков заверил, что позже сообщит подробную информацию.7 октября губернатор сообщал, что ВСУ обстреляли белгородское село Щетиновка. По словам Гладкова пострадал один мирный житель, ему оказали необходимую медицинскую помощь.Кроме того, 6 октября над Белгородом сработала система противовоздушной обороны. Гладков сообщил, что услышал над головой несколько «сильных разрывов». Никто не пострадал.",2022-10-08 00:00:00
В Госдуме назвали ЧП с Крымским мостом объявлением войны без правил,"ЧП, произошедшее с Крымским мостом, а также постоянные сообщения о возможном теракте сейчас стали не просто вызовом, а объявлением войны без правил. Об этом заявил член Госдумы от «Единой России» Олег Морозов, пишет РИА Новости.По его словам, сейчас «ведется неприкрытая террористическая война». Морозов добавил, что если Россия не сделает «адекватный» ответ на ЧП, то подобные инциденты продолжатся и дальше. Кроме того, они будут происходить еще чаще, считает политик. «Если промолчим в ответ и не дадим адекватного ответа, то подобные теракты будут множиться», — заключил он.Ранее российский сенатор Александр Башкин заявил, что нет сомнений, что российские ведомства, в том числе Минобороны, решатся на адекватный, осознанный и, возможно, асимметричный ответ на «дерзкий удар» по Крымскому мосту. По его мнению, за ЧП может стоять не только Украина, но и Запад.Национальный антитеррористический комитет (НАК) сообщил, что в субботу, 8 октября, во время движения по Крымскому мосту произошел подрыв автомобиля. После этого стало известно о возгорании топливной цистерны в хвосте поезда, шедшего по Крымскому мосту. Локомотив с частью вагонов выведен на станцию Керчь.По данным властей, арки моста не повредили. По предварительным данным, пострадавших нет. При этом движение по Крымскому мосту сейчас перекрыто, готовится к запуску паромная переправа через Керченский пролив. Помимо этого, власти Крыма призвали россиян пользоваться только официальной информацией во избежание распространения «вражеских фейков и вбросов».",2022-10-08 00:00:00
Отели Крыма бесплатно продлят пребывание туристов из-за закрытия моста,"Из-за закрытия моста отели Крыма бесплатно продлят проживание туристов, у которых закончилось время пребывания, пишет ТАСС со ссылкой на пресс-службу минкурортов республики.«Отельеры Крыма продлят пребывание гостей в своих средствах размещения», — заявили в министерства. Ранее с такой просьбой к владельцам гостиниц и руководителям санаториев обратился глава Крыма Сергей Аксенов. Он отметил, что республика компенсирует учреждениям все затраты.Кроме того, губернатор Севастополя Михаил Развожаев обратился к туристам, планирующим выезжать на материк, в своем Telegram-канале. Он попросил их задержаться в отелях и гостиницах на сутки до решения вопроса с переправой. Утром 8 октября на Крымском мосту произошел пожар. Как уточнили в пресс-службе Крымской железной дороги (КЖД), пожар стал следствием возгорания топливной цистерны в хвосте грузового поезда. В результате произошло обрушение двух автомобильных пролетов моста и возгорание семи топливных цистерн железнодорожного состава.Движение по мосту остановлено, пострадавших, по предварительным данным, нет. Глава крымского парламента Владимир Константинов обвинил в повреждении Крымского моста «украинских вандалов».",2022-10-08 00:00:00
В Минэнерго оценили запасы топлива в Крыму,"Крым полностью обеспечен автомобильным топливом, его запасов хватит минимум на 15 дней. Об этом сообщило Минэнерго России в своем Telegram-канале.В ведомстве подчеркнули, что уже идет работа по обеспечению продолжения подвоза бензина и дизельного топлива на полуостров.Утром 8 октября на Крымском мосту начался пожар. Как заявили в Национальном антитеррористическом комитете, причиной послужил подрыв грузовой машины, после которого загорелись семь топливных цистерн железнодорожного состава, а также частично обрушились два автомобильных пролета.Президент России Владимир Путин уже получил доклады о ситуации, сообщил его пресс-секретарь Дмитрий Песков. По его словам, глава государства поручил сформировать правительственную комиссию в связи с инцидентом.",2022-10-08 00:00:00
В России выявили 20 571 нового заболевшего COVID-19,"За минувшие сутки в России выявили еще 20 571 заболевшего COVID-19. Таким образом, общее число зараженных с начала пандемии составило 21 184 513. Новые данные передает в субботу, 8 октября, оперативный штаб по борьбе с инфекцией.7 октября количество инфицированных составило 22 268, 6 октября — 23045. 5 октября в стране было выявлено 23 757 зараженных.По обновленным данным оперштаба, наибольшее число заражений выявили в Москве (1553), Санкт-Петербурге (1318), Свердловской области (882), Пермском крае (845), Самарской области (728) и Московской области (661). Меньше всего — Ненецком автономном округе (6), Тыве (4) и Чукотском автономном округе (3).За последние 24 часа число госпитализаций составило 2174. За этот же период 38 289 человек выздоровели и были выписаны из больниц. За время пандемии вылечился от инфекции 20 385 431 россиянин. Умерли от осложнений, вызванных инфекцией, 106 пациентов. В стране за все время борьбы с COVID-19 было зафиксировано всего 388 097 летальных исходов.Ранее академик РАН Сергей Нетесов рассказал, что сигналом, показывающим проблемы с организмом, можно считать температуру 37,5. Он также посоветовал клинически здоровым людям не упускать этот сигнал и вызывать врача при его появлении. Нетесов заявил, что важно «перехватить» заболевание в самом его начале.",2022-10-08 00:00:00
В Федерации бокса России раскрыли число полученных спортсменами повесток,"Генеральный секретарь Федерации бокса России (ФБР) Татьяна Кириенко раскрыла число повесток, полученных представителями организации. Ее слова приводит РБК.Кириенко отметила, что в военкомат вызвали около 50 спортсменов, тренеров, судей и работников федерации по всей России. Члены ФБР уже обратились в Министерство спорта, чтобы получить бронь для них от частичной мобилизации. «Никакой паники нет. Мы сохранили всю элиту спортсменов, понимая, что железный занавес откроется и нам нужно будет отстаивать честь страны на международном ринге», — сказала Кириенко.6 октября российский боец смешанного стиля (MMA) Александр Емельяненко оценил вероятность получения повестки в рамках мобилизации. «Конечно, мне может прийти повестка. Я не открещиваюсь от службы и выполнения долга. Но у меня нет никакой военно‑учетной специальности», — заявил боец.21 сентября президент России Владимир Путин объявил о начале частичной мобилизации в стране. Глава Минобороны Сергей Шойгу уточнил, что всего планируется призвать 300 тысяч резервистов.",2022-10-08 00:00:00
В России пожар на Крымском мосту назвали диверсией,"На Крымском мосту однозначно произошла диверсия, заявил член комитета Государственной Думы по транспорту и развитию транспортной инфраструктуры Андрей Колесник. В разговоре с «Лентой.ру» он назвал предположительную цель тех, кто стоит за ЧП.Утром 8 октября на Крымском мосту загорелась топливная цистерна в хвосте грузового поезда. Позднее появилась информация, что на мосту произошел подрыв грузового автомобиля. Происшествие стало причиной частичного обрушения двух автомобильных пролетов моста и возгорания семи топливных цистерн железнодорожного состава.«Все четко сделано над надводной частью, чтобы труднее было подойти к разрушениям. Думаю, что надеялись на большие разрушения. Работали профессионалы по диверсионному акту. Все сделано в соответствии, скажем, с классикой диверсионного дела. Не буду раскрывать всех деталей. На Украине есть специалисты именно по этому вопросу», — заявил Колесник.Депутат отметил, что на первый взгляд повреждения не столь серьезные, однако из-за взрывной волны не весь ущерб может быть заметен по фото и видео.«Взрывная волна могла понести какие-то незаметные повреждения, которые могут сказаться на дальнейшей работе. Поэтому необходимо детально все изучить. То, что сейчас есть окружной путь — это правильно. Надо сначала оценить характер повреждений взорванного. Ни в коем случае нельзя сейчас по этому мосту ездить», — сообщил он.Колесник предположил, что оценка повреждений может занять несколько недель. «Думаю, что примерно две недели уйдет на оценку характера повреждений, а восстановят его потом довольно быстро. Тем более у нас есть специалисты. Если мы вообще смогли его построить, то восстановить точно сможем», — заключил депутат.Движение по мосту остановлено. Пострадавших, по предварительным данным, нет.",2022-10-08 00:00:00
В РЖД сообщили об отмене всех поездов в Крым,"В настоящий момент продажа билетов на поезда, которые следовали в Крым и обратно, приостановлена после ЧП. Помимо этого, отменены все поезда на ближайшее время. Сообщение РЖД публикует ТАСС.«Все поезда в сообщении с Крымом, которые планировалось отправить в ближайшее время,  временно не будут отправляться», — заявили в организации. Там пообещали, что возврат билетов на задержанные или отмененные поезда пассажирам сделают без дополнительных сборов и плат в ближайшее время.На место происшествия также отправили восстановительные поезда станций Керчь и Тамань — Пассажирская. Уже создан оперативный штаб РЖД под председательством генерального директора компании Олега Белозерова.Ранее глава Крыма Сергей Аксенов высказался о сроках восстановления Крымского моста после пожара. Он отметил, что только после ликвидации пожара станет понятно, когда будут проводить ремонтные работы. Он также пообещал провести экспертизу по мосту, которая покажет масштабы повреждений. Позднее стало известно, что пожар на поезде с дизельным топливом смогли ликвидировать. В настоящее время открытого горения на месте происшествия не наблюдается.Национальный антитеррористический комитет (НАК) сообщил, что в субботу, 8 октября, во время движения по Крымскому мосту произошел подрыв автомобиля. После этого стало известно о возгорании топливной цистерны в хвосте поезда, шедшего по Крымскому мосту. Локомотив с частью вагонов выведен на станцию Керчь.По данным властей, судоходные арки не повреждены. По предварительным данным, пострадавших нет. При этом движение по Крымскому мосту сейчас перекрыто, готовится к запуску паромная переправа через Керченский пролив. Помимо этого, власти Крыма призвали россиян пользоваться только официальной информацией во избежание распространения «вражеских фейков и вбросов».",2022-10-08 00:00:00
Оценен ущерб от пожара на Крымском мосту,"Всероссийский союз страховщиков (ВСС) оценил ущерб от пожара на Крымском мосту в 200-500 миллионов рублей, пишет РИА Новости со ссылкой на пресс-службу организации.«ВСС оценивает ущерб от ЧП на Крымском мосту в сумму 200-500 миллионов рублей. У ВСС нет информации о действующих договорах страхования в отношении инфраструктуры Крымского моста. Как правило, государственное имущество не страхуется», — объяснили в союзе.Утром 8 октября на Крымском мосту произошел пожар. Как уточнили в пресс-службе Крымской железной дороги (КЖД), пожар стал следствием возгорания топливной цистерны в хвосте грузового поезда. В результате произошло обрушение двух автомобильных пролетов моста и возгорание семи топливных цистерн железнодорожного состава. Движение по мосту остановлено, пострадавших, по предварительным данным, нет.После 10 утра пожар потушили, для этого привлекли 250 человек, а также 70 единиц техники. Глава крымского парламента Владимир Константинов обвинил в повреждении Крымского моста «украинских вандалов». Президент России Владимир Путин поручил сформировать правительственную комиссию в связи с происшествием.",2022-10-08 00:00:00
